"","id","zone","age","sex","income"
"1",1,1,59,"m",2868
"2",2,1,54,"m",2474
"3",3,1,35,"m",2231
"4",3,1,35,"m",2231
"5",3,1,35,"m",2231
"6",4,1,73,"f",3152
"7",5,1,49,"f",2473
"8",5,1,49,"f",2473
"9",5,1,49,"f",2473
"10",5,1,49,"f",2473
"11",3,1,35,"m",2231
"12",4,1,73,"f",3152
"13",1,2,59,"m",2868
"14",2,2,54,"m",2474
"15",4,2,73,"f",3152
"16",4,2,73,"f",3152
"17",4,2,73,"f",3152
"18",4,2,73,"f",3152
"19",5,2,49,"f",2473
"20",2,2,54,"m",2474
"21",4,2,73,"f",3152
"22",1,2,59,"m",2868
"23",3,3,35,"m",2231
"24",4,3,73,"f",3152
"25",4,3,73,"f",3152
"26",5,3,49,"f",2473
"27",5,3,49,"f",2473
"28",5,3,49,"f",2473
"29",5,3,49,"f",2473
"30",5,3,49,"f",2473
"31",4,3,73,"f",3152
"32",1,3,59,"m",2868
"33",3,3,35,"m",2231
